[20:43] Activity, Fuel (%), Heat (K), Waste (%), Coolant (%), Heated Coolant (%), Burn Rate (mb/t), Damage (%)
[20:44] Active, 100 %, 480.99739854648 K, 0 %, 97.33078 %, 0 %, 9.6 mb/t, 0 %
[20:45] Active, 100 %, 481.33444896839 K, 0 %, 97.27932 %, 0 %, 9.63 mb/t, 0 %
[20:47] Active, 100 %, 481.22204439009 K, 0 %, 97.23186 %, 0 %, 9.62 mb/t, 0 %
[20:49] Active, 100 %, 481.1095217463 K, 0 %, 97.2076 %, 0 %, 9.61 mb/t, 0 %
[20:51] Active, 100 %, 480.99716185436 K, 0 %, 97.206536 %, 0 %, 9.6 mb/t, 0 %
[20:52] Active, 100 %, 480.88496488538 K, 0 %, 97.228668 %, 0 %, 9.59 mb/t, 0 %
[20:54] Active, 100 %, 480.99741401381 K, 0 %, 97.237204 %, 0 %, 9.6 mb/t, 0 %
[20:56] Active, 100 %, 481.10970025837 K, 0 %, 97.22254 %, 0 %, 9.61 mb/t, 0 %
[20:57] Active, 100 %, 480.99734038846 K, 0 %, 97.221476 %, 0 %, 9.6 mb/t, 0 %
[20:59] Active, 100 %, 480.88486243038 K, 0 %, 97.243612 %, 0 %, 9.59 mb/t, 0 %
[21:01] Active, 100 %, 480.99731153884 K, 0 %, 97.252144 %, 0 %, 9.6 mb/t, 0 %
[21:03] Active, 100 %, 481.10959780554 K, 0 %, 97.237484 %, 0 %, 9.61 mb/t, 0 %
[21:04] Active, 100 %, 480.99723798581 K, 0 %, 97.23642 %, 0 %, 9.6 mb/t, 0 %
[21:06] Active, 100 %, 480.88504097673 K, 0 %, 97.258552 %, 0 %, 9.59 mb/t, 0 %
[21:08] Active, 100 %, 480.99720918024 K, 0 %, 97.267088 %, 0 %, 9.6 mb/t, 0 %
[21:10] Active, 100 %, 481.1094954549 K, 0 %, 97.252424 %, 0 %, 9.61 mb/t, 0 %
[21:11] Active, 100 %, 480.99713558701 K, 0 %, 97.25136 %, 0 %, 9.6 mb/t, 0 %
[21:13] Active, 100 %, 480.88493862802 K, 0 %, 97.273492 %, 0 %, 9.59 mb/t, 0 %
[21:15] Active, 100 %, 480.99738775238 K, 0 %, 97.282028 %, 0 %, 9.6 mb/t, 0 %
[21:17] Active, 100 %, 481.10967402094 K, 0 %, 97.267364 %, 0 %, 9.61 mb/t, 0 %
[21:18] Active, 100 %, 480.99731417501 K, 0 %, 97.2663 %, 0 %, 9.6 mb/t, 0 %
[21:20] Active, 100 %, 480.88483622683 K, 0 %, 97.288436 %, 0 %, 9.59 mb/t, 0 %
[21:22] Active, 100 %, 480.99728530309 K, 0 %, 97.296968 %, 0 %, 9.6 mb/t, 0 %
[21:24] Active, 100 %, 481.10957155168 K, 0 %, 97.282308 %, 0 %, 9.61 mb/t, 0 %
[21:25] Active, 100 %, 480.99721175594 K, 0 %, 97.281244 %, 0 %, 9.6 mb/t, 0 %
[21:27] Active, 100 %, 480.88501477081 K, 0 %, 97.303376 %, 0 %, 9.59 mb/t, 0 %
[21:29] Active, 100 %, 480.99718294214 K, 0 %, 97.311912 %, 0 %, 9.6 mb/t, 0 %
[21:31] Active, 100 %, 481.10975011161 K, 0 %, 97.297248 %, 0 %, 9.61 mb/t, 0 %
[21:32] Active, 100 %, 480.99739022561 K, 0 %, 97.296184 %, 0 %, 9.6 mb/t, 0 %
[21:34] Active, 100 %, 480.88491232162 K, 0 %, 97.318316 %, 0 %, 9.59 mb/t, 0 %
[21:36] Active, 100 %, 480.99736147006 K, 0 %, 97.326852 %, 0 %, 9.6 mb/t, 0 %
[21:37] Active, 100 %, 481.10964776266 K, 0 %, 97.312188 %, 0 %, 9.61 mb/t, 0 %
[21:39] Active, 100 %, 480.99728792668 K, 0 %, 97.311124 %, 0 %, 9.6 mb/t, 0 %
